id_venda,id_cliente,id_produto,data_venda,quantidade,preco_unitario,valor_total
1,6,1,2022-04-30,358,22.06,7897.13
2,3,1,2022-01-25,449,36.47,16376.88
3,1,3,2022-08-22,264,21.21,5599.68
4,1,12,2022-08-26,144,20.6,2966.47
5,10,3,2022-05-19,484,14.11,6828.68
6,1,8,2022-08-27,192,13.31,2555.95
7,1,10,2022-04-29,19,43.84,832.92
8,10,13,2022-07-15,36,27.72,997.96
9,4,8,2022-02-04,466,16.64,7754.36
10,8,1,2022-05-16,176,31.29,5507.19
11,9,3,2022-01-27,87,12.87,1119.66
12,10,5,2022-06-02,384,17.85,6853.59
13,2,6,2022-04-06,254,47.83,12147.98
14,6,1,2022-07-26,79,11.69,923.46
15,2,12,2022-01-10,24,18.42,442.07
16,5,1,2022-01-04,83,46.99,3900.37
17,2,3,2022-06-02,25,32.07,801.63
18,4,1,2022-03-03,251,40.25,10101.78
19,10,15,2022-05-29,417,15.83,6600.15
20,6,9,2022-05-28,258,20.55,5302.98
21,8,14,2022-08-02,257,24.55,6310.09
22,8,7,2022-07-17,211,11.23,2369.18
23,10,1,2022-05-14,358,45.86,16418.97
24,9,15,2022-01-15,226,47.68,10774.83
25,10,9,2022-04-13,162,36.78,5958.48
26,9,13,2022-07-22,74,16.15,1194.96
27,4,4,2022-04-11,18,17.48,314.68
28,7,2,2022-06-18,91,15.85,1442.65
29,5,14,2022-06-12,78,36.03,2810.34
30,7,14,2022-01-13,57,24.47,1394.62
31,5,9,2022-04-02,213,38.23,8143.6
32,7,3,2022-07-10,340,37.9,12885.94
33,5,8,2022-08-03,362,44.82,16223.13
34,8,5,2022-03-18,217,38.39,8330.47
35,7,10,2022-06-19,290,18.57,5384.2
36,2,7,2022-03-07,450,43.54,19594.27
37,2,15,2022-05-27,266,45.91,12213.24
38,6,7,2022-05-11,357,11.88,4242.56
39,7,5,2022-03-20,498,26.87,13379.16
40,6,13,2022-03-25,246,38.02,9353.99
41,1,15,2022-08-26,147,34.24,5032.73
42,7,8,2022-01-09,103,29.53,3041.08
43,1,6,2022-03-25,150,21.72,3258.73
44,5,2,2022-05-17,242,43.19,10452.26
45,3,7,2022-05-29,298,29.0,8642.86
46,1,10,2022-03-31,102,24.74,2523.86
47,3,4,2022-05-07,324,35.8,11599.9
48,5,11,2022-05-27,331,47.15,15606.61
49,7,8,2022-07-13,312,30.72,9583.51
50,8,13,2022-08-13,373,27.33,10192.85
51,9,7,2022-05-02,483,44.93,21701.44
52,10,6,2022-08-28,366,17.75,6496.58
